SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
514386,GUJ COTEX   ,X ,Q,1.11,1.13,1.11,1.13,1.13,1.13,3,1071,1198.00,
514394,AJIL        ,X ,Q,30.10,31.60,28.60,29.35,30.45,30.10,74,2637,79718.00,
514400,GARWARE SYN.,X ,Q,4.88,4.88,4.88,4.88,4.88,4.79,11,1508,7359.00,
514412,SARUPINDUS  ,X ,Q,16.95,16.95,16.95,16.95,16.95,17.00,2,925,15678.00,
514418,MANORG      ,X ,Q,500.90,500.90,475.00,478.20,482.00,498.95,557,10723,5207101.00,
514428,HINDU.ADHESI,X ,Q,117.45,117.45,117.45,117.45,117.45,117.45,2,104,12214.00,
514442,SRI KPR IND ,X ,Q,12.40,12.40,12.40,12.40,12.40,12.05,2,5,62.00,
514448,JYOTI RESINS,X ,Q,528.00,545.00,508.00,514.75,518.35,527.90,168,5852,3058413.00,
514450,MAHA.RUBTECH,X ,Q,41.00,41.25,40.90,41.05,41.00,42.20,12,2975,122047.00,
514470,WIMSOME TEXT,T ,Q,28.00,30.80,28.00,29.00,29.00,29.35,19,1000,29602.00,
514484,THAMBI MOD. ,X ,Q,7.75,7.75,7.75,7.75,7.75,7.50,1,100,775.00,
515008,MOD.INSUL.  ,XT,Q,49.30,49.30,45.30,45.95,46.65,47.65,47,10835,499842.00,
515030,ASAHI IN.GLA,A ,Q,294.60,300.00,286.75,290.05,291.00,298.05,185,2789,818615.00,
515037,MURD.CERAM  ,B ,Q,19.90,20.15,19.50,19.55,19.60,19.90,66,6757,133083.00,
515043,SAINT-GOBAIN,X ,Q,68.60,68.60,66.00,66.30,66.30,67.95,325,32069,2131809.00,
515055,ANANTRAJ    ,B ,Q,58.95,59.00,55.05,55.95,55.95,56.90,679,83930,4815204.00,
515059,MADHUS.IND. ,X ,Q,11.00,11.00,11.00,11.00,11.00,11.55,1,100,1100.00,
515085,RESTILE CER.,X ,Q,2.20,2.20,2.00,2.03,2.03,2.10,28,23698,48627.00,
515093,MADHAV MARB.,B ,Q,53.05,53.05,50.80,51.15,51.60,52.70,87,3838,197322.00,
515145,HIND.NAT.GLS,B ,Q,35.90,35.90,33.20,33.70,33.90,35.60,130,18813,637907.00,
515147,HALDYN GLASS,X ,Q,32.20,34.40,31.55,32.45,32.60,33.95,644,170149,5609516.00,
516003,DUROPLY     ,X ,Q,60.80,60.80,55.55,56.20,56.00,61.70,95,18730,1062319.00,
516007,MANGALAM TIM,B ,Q,11.59,11.65,11.49,11.49,11.49,11.80,10,4556,53026.00,
516016,SHREYANS IND,B ,Q,107.20,107.90,105.55,106.65,106.90,106.50,63,2401,256572.00,
516020,AGIO PAPER  ,XT,Q,1.87,1.87,1.87,1.87,1.87,1.96,2,11,20.00,
516022,STAR PAPER  ,B ,Q,124.00,126.85,122.35,123.55,123.00,124.10,177,5422,678610.00,
516030,YASHPAKKA   ,X ,Q,77.00,77.90,73.95,75.45,75.45,76.60,375,117235,8817285.00,
516062,NAT.PLYWOOD ,Z ,Q,5.73,5.73,5.20,5.73,5.73,5.46,25,5245,29946.00,
516064,ARROWGREEN  ,T ,Q,73.00,77.40,71.10,72.80,73.55,74.80,40,11694,871746.00,
516072,VISHNU CHEM ,B ,Q,279.00,285.00,258.55,272.25,273.60,272.15,1370,26239,7021237.00,
516082,N.R.AGARWAL ,B ,Q,243.60,251.05,241.00,243.45,243.20,245.95,195,1832,450998.00,
516092,3PLAND      ,B ,Q,8.39,8.39,8.24,8.24,8.24,8.39,3,500,4152.00,
516098,VENTURA TEXL,X ,Q,2.10,2.20,2.10,2.20,2.20,2.10,2,324,711.00,
516106,SH.KARTHIK P,X ,Q,2.20,2.20,2.20,2.20,2.20,2.31,2,339,745.00,
516108,S.I.PAPER   ,X ,Q,93.00,93.00,86.10,87.80,88.25,93.85,80,6388,564906.00,
516110,SCANDENT    ,XT,Q,15.20,15.95,14.45,14.80,14.80,15.20,31,800012,11845189.00,
517015,VINDHYA TELE,A ,Q,827.15,847.00,815.75,819.35,817.40,830.20,460,2545,2125999.00,
517035,RUTTONSHA IN,XT,Q,52.70,52.70,50.10,50.20,50.20,52.70,8,281,14359.00,
517041,ADORWELDING ,B ,Q,318.65,320.00,305.00,308.20,308.00,320.60,144,633,197677.00,
517059,SALZER ELEC ,B ,Q,126.05,127.50,115.20,122.25,122.00,124.40,112,6727,832528.00,
517063,JETINFOTRAN ,X ,Q,34.75,34.75,33.05,34.00,34.00,34.05,6,39,1322.00,
517077,INDAGIV COMM,XT,Q,26.60,26.60,26.60,26.60,26.60,28.00,1,1,26.00,
517096,APLAB LTD.  ,X ,Q,18.70,18.70,17.20,17.45,17.50,18.40,29,7836,137814.00,
517119,PCS TECH    ,X ,Q,5.63,5.63,5.17,5.31,5.50,5.37,24,4552,24959.00,
517146,USHA MART.LT,A ,Q,33.50,34.00,32.60,32.70,33.05,33.80,301,65179,2170561.00,
517166,SPEL SEMICON,XT,Q,13.90,14.89,13.50,13.76,14.34,14.21,114,34703,479617.00,
517168,SUBROS LTD. ,A ,Q,313.75,316.00,303.75,305.65,308.00,313.75,385,5115,1583821.00,
517170,KLKELEC     ,XT,Q,17.25,17.50,17.25,17.40,17.50,17.25,3,500,8700.00,
517174,HONEYWELL   ,A ,Q,44048.35,44839.05,43664.15,44745.75,44666.50,44621.05,125,196,8729896.00,
517201,SWITCH.TECH.,X ,Q,28.60,28.60,28.60,28.60,28.60,30.00,2,200,5720.00,
517206,LUMAX IND   ,B ,Q,1672.35,1703.00,1609.00,1635.40,1620.30,1673.20,325,1725,2836322.00,
517214,DIGISPICE   ,T ,Q,61.70,61.70,60.00,61.70,61.70,58.80,374,98310,6063505.00,
517230,PREM.AU.ELEC,Z ,Q,8.59,8.59,7.85,8.59,8.59,8.19,60,25988,220023.00,
517236,CALCOM VISIO,X ,Q,26.95,27.15,26.95,27.15,27.15,25.90,22,2177,58986.00,
517238,DYNAVISION  ,XT,Q,66.50,66.50,66.50,66.50,66.50,69.50,1,1,66.00,
517246,BCC FUBA    ,XT,Q,20.43,20.44,20.30,20.44,20.44,19.47,81,20298,414636.00,
